6607577	6102983	6437098	7709636	7115381	6382410	6061348	7508512	7291412	5371872	7581151	5682651	6002172	7081508	6829431	7274204	7398026	4758874	6080381	6212773	6496321	6863903	6895052	7609213	7396094	4459291	4664591	4705476	5788046	5985186	6080724	6103888	6240521	6467722	6470973	6491114	6551495	6558734	6584418	7093610	7094438	7095068	7106455	7144947	7566875	7218420	6656055	6706352	7274006	6779580	6806830	6822450	6835475	6843744	6844289	6866871	6882500	6904274	7438475	6956924	6960966	6962925	6971733	7005551	7010470	7449882	7036464	7060769	7093675	7115075	7118231	3556816	4138914	4300013	4626660	4673279	4726127	4782424	4878669	4902106	4908065	4947900	5079774	5124698	5131086	5134213	5211692	5230395	5467009	5482085	5530722	5620766	5697043	5731061	5737237	5773560	5838141	5838569	5851753	5876316
4766634	5167644	5494045	5435995	5533064	5076375	5616202	5372205	5161669	5164436	5033233	5697966	4725958	5154417	5092558	6316716	5535658	6102101	5947657	5567088	4909530	4938570	4950326	4311036	4519706	4569244	4583972	4811433	5130594	5172684	5076413	5084009	5614523	4835428	4883917	4887777	4891638	4442470	4592723	4623936	4753676	5347757	5999810	5101515	5147623	5193826	5211325	5215818	6484843	4970721	4981771	4992907	5045627	4878089	4889147	4910217	6062297	4577097	4613585	4724893	4789318	4794322	5253179	5963129	5809838	5207780	5023219	5049837	5086743	5096995	5456505	4888306	5951472	5251415	5283622	5297454	5368370	5382141	5389553	4305282	4525631	4583592	4586769	4679756	4684163	4687853	4698056	4743934	4764639	4767430	6356483	5737658	5195970	5246992	5008476	5014348	5034000	5041972	5045276	5047272
4755265	2289146	3517689	4023014	4839874	3849664	4062826	4526465	4589564	4787797	4788796	4796075	5977917	4846900	4976031	5023276	5625395	5662855	5128697	2452921	3685744	3861388	3938580	4049931	4142808	4253424	4255336	4308730	4422155	4456561	4579996	4597381	4609434	4610246	4616012	4622184	4624517	4639467	4645716	4693778	4740826	4761924	4763913	5257271	5363373	5891766	5956009	4821566	4836792	4847330	4898913	4941656	5423961	5432344	5440104	5494505	5521832	5523516	5544792	6707134	4976766	4990826	4999903	5001371	5016033	5603312	5618480	5647161	5647511	5696102	6884439	5125642	5185567	5237416	5246301	5731221	5843007	6376022	6434261	1911834	3050010	3105696	3407053	3483375	3497721	3518922	3552923	3566101	3609223	3638489	3652178	3654942	3655910	3680886	3718848	3723092	3735107	3757492	3781065	3791289
4156797	4877837	4872097	4927593	5848190	6326528	4868497	4377424	6071001	4520315	4753282	5449750	5926516	5229452	5544833	5181823	2524261	2986741	5301102	5234107	4866817	2532180	3300815	3479395	5908652	4331551	3315892	5280762	5591777	3143354	3652519	6256671	2824400	3111058	3152497	3627195	4001569	4378012	3190306	3358751	3909918	4015824	4464867	4502755	4293766	4620681	2784660	2807669	2849174	2852040	3101522	3329410	3699917	4013834	4064949	4115842	4134984	4186056	4265531	4299801	4356467	4406216	2722794	2790173	2874998	2879089	2895002	3115522	3129406	3184039	3186625	3232350	3266048	3332076	3393523	3437247	3477836	3487115	3524619	3558143	3572308	3618792	3690145	3691305	3744566	3800119	3807335	3835060	3838061	3856712	3860255	3869118	3894622	3934844	3935290	3935621	3958059	3992369	4004923	4026082
1133525	1156437	959524	964463	974661	985107	986180	986885	1044066	1049834	1093108	1127649	1195651	972447	992583	1042617	1067432	1085377	1145200	1162588	888583	897736	915453	916554	959827	960970	968547	970047	972181	978050	979098	980702	980804	981233	988035	996247	1013676	1019122	1034084	1036819	1039335	1040146	1045154	1052129	1061854	1071317	1078026	1079680	1108498	1116291	1119994	1140722	1276747	1198405	1208632	1151105	1153697	1174253	1175336	1185143	1187025	1194690	908541	921306	925607	929381	941959	951197	956225	960132	969496	972169	975425	984157	989771	989992	1002180	1010232	1016213	1028775	1037223	1039586	1039774	1068086	1131384	1293311	1295318	1201621	1206916	1207291	1211215	1217226	1221881	1237423	832353	875329	876183	884012	928026	933995
179566	176586	217005	233573	253228	262370	11997	21757	24801	33958	40658	42846	43231	43728	45273	47114	54072	54152	57458	58568	59227	63422	65427	68682	69323	69911	70019	70204	72166	73598	79342	80038	80494	83436	83523	84162	84995	85483	86469	89997	90273	91202	92452	93062	93873	96197	101219	101855	102097	103712	104028	104865	106551	106679	108926	109032	109544	109638	111837	113418	113789	113931	114285	114448	117582	119290	121218	121538	121652	123768	125284	125498	126039	126624	126833	126840	126886	127062	127249	127642	128139	128148	129550	129763	130126	130168	131765	132125	134812	134932	135101	135361	135952	137103	137372	137724	140223	142059	143582	144101
1798193	1857427	1972601	2486627	2012699	1950541	1131633	1570183	1648831	1649227	2212513	1971733	2392588	2340799	2008966	2024943	1888771	1278977	1586312	1674299	1680744	1751815	1798531	2253088	2062204	1957174	1957348	1823295	1846164	1848293	2229098	2102969	1886039	1900369	1900639	1248450	1257652	1468957	1554659	1571894	1617592	1626314	1633664	1638093	1695227	1714727	1728455	1735412	2259610	2166334	2172968	2029101	2032271	2057258	2057569	1922202	1933630	1947477	2547061	2560721	2561687	2424405	1814512	1824149	1830871	1834393	1834597	1836624	1859338	1860384	2315731	2352322	2218179	2754644	2600104	1984083	1987960	1991858	1998983	2001428	2005128	2021555	2527598	2395153	1873778	1874029	1882166	1883933	1894389	1895142	1896180	1898529	1900909	1901276	1909996	1911489	1918649	2248799	2251324	2251757
7327341	6948170	7233443	5989928	7191281	7112023	4684903	3286976	5388212	7527440	7556403	7432833	5716367	6122464	6544995	6919642	7033433	7413884	3181012	3450486	4040753	4252373	4261055	4509803	5031574	5209581	5296205	5309153	5398841	5903954	6045330	6162583	6533911	6536761	6574841	6898000	6964335	6998406	7154815	7317953	7647127	3667577	3743798	4112105	4478946	4644365	4646168	4649377	4710311	4730004	4764233	4919758	4991431	5008957	5129728	5374543	5392857	5519444	5565007	5733076	5781367	5823866	5845195	5967681	6047130	6200008	6206577	6260587	6264931	6315949	6507571	6530986	6561857	6570014	6617019	6863697	6940505	7018864	7241854	7256514	7306642	7630886	7473650	7508020	7705149	7573626	2787203	2804073	2871790	2876182	3069470	3146649	3354590	3416746	3420545	3493437	3537552	3570057	3572031	3586745
6805020	5625108	5167818	5203091	5331797	5341456	5471873	5478153	5496286	5619383	5951389	5954197	5956780	6238426	6342699	6362246	6388069	6415582	6458848	6612883	4078557	4224307	4240301	4242928	4251279	4259444	4266335	4288598	4307666	4313222	4318360	4324187	4325251	4329139	4339675	4353030	4354460	4363586	4370853	4372253	4380987	4411688	4414748	4419262	4426446	4440017	4446384	4477487	4491645	4492107	4503786	4518580	4542379	4553878	4554770	4574279	4575066	4585123	4600770	4604706	4609064	4616624	4625310	4639547	4642120	4643887	4717281	4756573	4835992	4838097	4838307	4911509	4917990	4924407	4939219	4952745	4967530	5026563	5110545	5115023	5118677	5143358	5144436	5158963	5185995	5200330	5223658	5273841	5287769	5307814	5312226	5325397	5352431	5373343	5381095	5389052	5407476	5421284	5437953	5454288
1108500	1542378	1801104	2005082	932375	1063047	1096080	1110012	2074657	1237682	1664943	384284	434656	983014	1052924	1107976	1115320	1122217	1144240	1146206	1255451	1288778	1153426	1319988	1327076	1340779	1212108	1227574	1231710	1396673	1403818	1418317	1252553	1286620	491948	661312	665585	697043	732681	733145	786817	789285	805863	827414	838316	873293	876407	879701	907068	924132	942076	949864	951379	952246	958057	963499	971141	983232	984080	990100	1024060	1026722	1027490	1047143	1056828	1066072	1075724	1079998	1080225	1080691	1098582	1101522	1101840	1103164	1104017	1108104	1119388	1119749	1121062	1121849	1126458	1131950	1134925	1141459	1148500	2090025	1457304	1474052	1484771	1315765	1315865	1329162	1338249	1341135	1341414	1149426	1160791	1163971	1164913	1165238
